species_a,species_b,class_a,class_b,order_a,order_b,family_a,family_b,genus_a,genus_b,pair_class,relation,divergence_mya,divergence_years,divergence_source,timetree_study_count,timetree_ci_low,timetree_ci_high,timetree_name_a,timetree_name_b,n_calls_a,n_calls_b,n_pairs,alignment_r,alignment_fisher_z,log10_divergence_mya
African grey parrot (Psittacus erithacus),African savanna elephant (Loxodonta africana),Aves,Mammalia,Psittaciformes,Proboscidea,Psittacidae,Elephantidae,Psittacus,Loxodonta,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Loxodonta africana,Psittacus erithacus,5,8,40,-0.09845765696239031,-0.0987776668853986,2.503722606486479
African grey parrot (Psittacus erithacus),American bullfrog (Lithobates catesbeianus),Aves,Amphibia,Psittaciformes,Anura,Psittacidae,Ranidae,Psittacus,Lithobates,Cross-class,cross_class,351.686545,351686545.0,TimeTree API pairwise summaryjson,32.0,348.4,355.7,Aquarana catesbeiana,Psittacus erithacus,5,5,25,0.4034269062196233,0.4277352714999697,2.546155753178947
African grey parrot (Psittacus erithacus),Bengalese finch (Lonchura striata domestica),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Estrildidae,Psittacus,Lonchura,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Lonchura striata domestica,Psittacus erithacus,5,6,30,0.36817993388796294,0.38631598603066997,1.8313213152131547
African grey parrot (Psittacus erithacus),Black-and-white colobus (Colobus guereza),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Colobus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Colobus guereza,5,5,25,0.4842484006491478,0.5285192713179534,2.503722606486479
African grey parrot (Psittacus erithacus),Bonobo (Pan paniscus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hominidae,Psittacus,Pan,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Pan paniscus,5,14,70,0.07577952409726613,0.07592508150386942,2.503722606486479
African grey parrot (Psittacus erithacus),Bornean Orangutan (Pongo pygmaeus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hominidae,Psittacus,Pongo,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Pongo pygmaeus,5,32,160,0.14851905333348417,0.14962574404653908,2.503722606486479
African grey parrot (Psittacus erithacus),Brown lemurs (Eulemur spp.),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Lemuridae,Psittacus,Eulemur,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Eulemur,5,5,25,0.42871949447322116,0.45832676076941725,2.503722606486479
African grey parrot (Psittacus erithacus),Campbell's monkey (Cercopithecus campbelli),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus campbelli,5,7,35,-0.004788431339169221,-0.004788467937772665,2.503722606486479
African grey parrot (Psittacus erithacus),Carolina chickadee (Poecile carolinensis),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Paridae,Psittacus,Poecile,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Poecile carolinensis,Psittacus erithacus,5,4,20,0.3359447051174219,0.3495142717100537,1.8313213152131547
African grey parrot (Psittacus erithacus),Chacma baboon (Papio ursinus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Papio,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Papio ursinus,5,6,30,0.2978220716288962,0.30712798893549154,2.503722606486479
