species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Carolina chickadee (Poecile carolinensis),Meerkat (Suricata suricatta),48892,37032,Poecile carolinensis,Suricata suricatta,Poecile carolinensis,Suricata suricatta,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Spotted hyena (Crocuta crocuta),48892,9678,Poecile carolinensis,Crocuta crocuta,Poecile carolinensis,Crocuta crocuta,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Poison dart frogs (Dendrobatidae; various genera),48892,43469,Poecile carolinensis,Dendrobatidae,Poecile carolinensis,Dendrobatidae,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Green tree frog (Hyla cinerea),48892,8422,Poecile carolinensis,Hyla cinerea,Poecile carolinensis,Dryophytes cinereus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Túngara frog (Engystomops pustulosus),48892,76066,Poecile carolinensis,Engystomops pustulosus,Poecile carolinensis,Engystomops pustulosus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),American bullfrog (Lithobates catesbeianus),48892,8400,Poecile carolinensis,Lithobates catesbeianus,Poecile carolinensis,Aquarana catesbeiana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),African savanna elephant (Loxodonta africana),48892,9785,Poecile carolinensis,Loxodonta africana,Poecile carolinensis,Loxodonta africana,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Gray wolf (Canis lupus),48892,9612,Poecile carolinensis,Canis lupus,Poecile carolinensis,Canis lupus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Egyptian fruit bat (Rousettus aegyptiacus),48892,9407,Poecile carolinensis,Rousettus aegyptiacus,Poecile carolinensis,Rousettus aegyptiacus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Greater sac-winged bat (Saccopteryx bilineata),48892,59482,Poecile carolinensis,Saccopteryx bilineata,Poecile carolinensis,Saccopteryx bilineata,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Bengalese finch (Lonchura striata domestica),48892,299123,Poecile carolinensis,Lonchura striata domestica,Poecile carolinensis,Lonchura striata domestica,29.793515,21.544868,36.99,8.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Japanese tit (Parus minor),48892,213890,Poecile carolinensis,Parus minor,Poecile carolinensis,Parus minor,10.77034,0.0,12.41,3.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Plain-tailed wren (Pheugopedius euophrys),48892,2724890,Poecile carolinensis,Pheugopedius euophrys,Poecile carolinensis,Pheugopedius euophrys,29.793515,21.544868,36.99,8.0,TimeTree API pairwise summaryjson,
